Subject,Context,SessionDate,SessionTime,proposer,receivor,type,choose,Wait2.RT,targettext
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,3571,2
3,gain,02-16-2022,10:01:47,5,5,fair,接受,1027,3
3,gain,02-16-2022,10:01:47,6,4,fair,接受,1836,2
3,gain,02-16-2022,10:01:47,7,3,7月3日,拒绝,288,2
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,1799,1
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,1318,1
3,gain,02-16-2022,10:01:47,5,5,fair,拒绝,3894,1
3,gain,02-16-2022,10:01:47,7,3,7月3日,拒绝,804,1
3,gain,02-16-2022,10:01:47,6,4,fair,接受,1082,2
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,6233,1
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,7,3,7月3日,接受,2193,2
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,416,1
3,gain,02-16-2022,10:01:47,6,4,fair,接受,1119,2
3,gain,02-16-2022,10:01:47,5,5,fair,接受,731,3
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,1622,1
3,gain,02-16-2022,10:01:47,6,4,fair,接受,906,2
3,gain,02-16-2022,10:01:47,7,3,7月3日,拒绝,1604,1
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,1037,1
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,491,3
3,gain,02-16-2022,10:01:47,5,5,fair,接受,4537,3
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,5,5,fair,接受,686,3
3,gain,02-16-2022,10:01:47,7,3,7月3日,接受,532,2
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,1059,3
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,812,5
3,gain,02-16-2022,10:01:47,6,4,fair,拒绝,1600,5
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,1784,3
3,gain,02-16-2022,10:01:47,5,5,fair,拒绝,1822,3
3,gain,02-16-2022,10:01:47,8,2,unfair,拒绝,796,3
3,gain,02-16-2022,10:01:47,7,3,7月3日,接受,1300,1
3,gain,02-16-2022,10:01:47,6,4,fair,接受,730,1
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,,,,,,
3,gain,02-16-2022,10:01:47,8,2,unfair,接受,828,3
3,gain,02-16-2022,10:01:47,6,4,fair,接受,662,3
3,gain,02-16-2022,10:01:47,5,5,fair,接受,251,3
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,1019,3
3,gain,02-16-2022,10:01:47,7,3,7月3日,接受,774,3
3,gain,02-16-2022,10:01:47,9,1,unfair,拒绝,517,3
3,gain,02-16-2022,10:01:47,7,3,7月3日,接受,767,4
3,gain,02-16-2022,10:01:47,5,5,fair,接受,736,4
3,gain,02-16-2022,10:01:47,6,4,fair,接受,770,3
3,gain,02-16-2022,10:01:47,8,2,unfair,接受,806,1
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,7,3,7月3日,接受,2221,3
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,5146,2
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,5353,2
7,gain,02-09-2022,14:38:21,5,5,fair,接受,1237,5
7,gain,02-09-2022,14:38:21,6,4,fair,接受,991,4
7,gain,02-09-2022,14:38:21,6,4,fair,接受,1339,4
7,gain,02-09-2022,14:38:21,5,5,fair,接受,763,5
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,986,2
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,2044,2
7,gain,02-09-2022,14:38:21,7,3,7月3日,接受,3424,2
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,1128,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,3320,4
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,1549,2
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,1234,2
7,gain,02-09-2022,14:38:21,5,5,fair,接受,597,5
7,gain,02-09-2022,14:38:21,5,5,fair,接受,662,5
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,2755,2
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,1501,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,881,4
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,1039,2
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,1055,2
7,gain,02-09-2022,14:38:21,5,5,fair,接受,720,5
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,1014,2
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,1860,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,729,4
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,944,2
7,gain,02-09-2022,14:38:21,5,5,fair,接受,696,5
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,1035,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,764,4
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,900,2
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,,,,,,
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,2642,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,757,4
7,gain,02-09-2022,14:38:21,5,5,fair,接受,626,5
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,823,2
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,1194,2
7,gain,02-09-2022,14:38:21,5,5,fair,接受,432,5
7,gain,02-09-2022,14:38:21,9,1,unfair,拒绝,886,2
7,gain,02-09-2022,14:38:21,7,3,7月3日,拒绝,1176,2
7,gain,02-09-2022,14:38:21,6,4,fair,接受,749,4
7,gain,02-09-2022,14:38:21,8,2,unfair,拒绝,849,2
18,gain,02-16-2022,16:00:40,,,,,,
18,gain,02-16-2022,16:00:40,5,5,fair,接受,5636,3
18,gain,02-16-2022,16:00:40,7,3,7月3日,拒绝,2715,1
18,gain,02-16-2022,16:00:40,6,4,fair,接受,2618,2
18,gain,02-16-2022,16:00:40,8,2,unfair,拒绝,1550,1
