Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	3204.0	3.0
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	接受	8508.0	5.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	拒绝	5013.0	3.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	拒绝	3222.0	5.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	拒绝	1746.0	3.0
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	接受	1921.0	3.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	接受	2281.0	3.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	拒绝	599.0	3.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	拒绝	428.0	3.0
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	1543.0	3.0
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	1316.0	3.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	接受	2558.0	3.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	接受	601.0	1.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	接受	1933.0	3.0
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	拒绝	726.0	4.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	接受	1887.0	1.0
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	1101.0	1.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	接受	744.0	5.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	接受	944.0	1.0
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	接受	1078.0	4.0
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	接受	1304.0	3.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	拒绝	1727.0	3.0
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	876.0	3.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	拒绝	5560.0	5.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	接受	750.0	1.0
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	接受	3399.0	1.0
148	loss	08-19-2022	11:13:33	-5.0	-5.0	fair	接受	1113.0	3.0
148	loss	08-19-2022	11:13:33	-4.0	-6.0	fair	接受	2227.0	5.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	拒绝	2264.0	5.0
148	loss	08-19-2022	11:13:33	-2.0	-8.0	unfair	拒绝	3287.0	4.0
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33						
148	loss	08-19-2022	11:13:33	-3.0	-7.0	7月3日	拒绝	2497.0	5.0
148	loss	08-19-2022	11:13:33	-1.0	-9.0	unfair	拒绝	982.0	3.0
